Endpoint,Train_Accuracy_Mean,Train_Accuracy_Var,Train_AUC_Mean,Train_AUC_Var,Validate_Accuracy_Mean,Validate_Accuracy_Var,Validate_AUC_Mean,Validate_AUC_Var,Test_Accuracy_Mean,Test_Accuracy_Var,Test_AUC_Mean,Test_AUC_Var
Ames,0.9063333333333334,0.0004403333333333341,0.964,0.00015600000000000027,0.8193333333333334,4.433333333333259e-05,0.8930000000000001,6.300000000000012e-05,0.7946666666666667,4.133333333333341e-05,0.8716666666666666,3.0333333333333387e-05
BSEP_inhibitor,0.91,0.00030100000000000054,0.9796666666666667,8.233333333333348e-05,0.7926666666666667,0.00013733333333333357,0.884,0.0002770000000000005,0.7823333333333333,3.333333333333339e-05,0.8783333333333334,5.833333333333344e-05
CLp_c,0.839,0.0016929999999999988,0.9420000000000001,0.0010269999999999975,0.6826666666666666,0.00022633333333333213,0.767,0.00018300000000000033,0.68,0.00023699999999999855,0.7886666666666667,0.0007543333333333347
CYP2C9_inhibitor,0.8689999999999999,0.0004030000000000007,0.9386666666666668,0.00031633333333333166,0.8176666666666667,6.633333333333282e-05,0.887,0.0001120000000000002,0.8186666666666667,1.6333333333333362e-05,0.8993333333333334,1.433333333333336e-05
CYP2D6_substrate,0.9213333333333334,0.0007053333333333311,0.9783333333333334,8.533333333333349e-05,0.8363333333333333,0.0005373333333333342,0.9146666666666667,0.0010573333333333314,0.824,0.00030399999999999834,0.906,7.500000000000014e-05
CYP3A4_inhibitor,0.8780000000000001,0.0003270000000000006,0.9463333333333334,0.00012433333333333355,0.8370000000000001,0.0002170000000000004,0.9136666666666667,0.00018433333333333366,0.8370000000000001,0.00012900000000000024,0.9143333333333334,7.433333333333346e-05
CYP3A4_substrate,0.8986666666666666,0.00037433333333333405,0.9646666666666667,0.0001543333333333336,0.7913333333333333,5.433333333333344e-05,0.872,5.70000000000001e-05,0.7656666666666667,6.333333333333344e-06,0.8566666666666668,0.0002723333333333338
DILI,0.8433333333333333,0.0017343333333333364,0.9169999999999999,0.0014169999999999977,0.676,0.00015100000000000028,0.7283333333333334,0.00013333333333333356,0.6876666666666668,0.0009743333333333313,0.7586666666666666,0.0014573333333333359
F50,0.8963333333333333,0.001064333333333335,0.9603333333333333,0.0004603333333333342,0.7360000000000001,0.00011700000000000021,0.8170000000000001,0.000506999999999998,0.7746666666666667,0.0005103333333333342,0.8530000000000001,0.000532000000000001
FDAMDD_c,0.9003333333333333,0.0007693333333333348,0.9659999999999999,0.00025200000000000043,0.705,0.0031479999999999998,0.81,0.0010079999999999978,0.7683333333333332,0.0028583333333333334,0.8616666666666667,0.0010703333333333352
Micronucleus,0.9523333333333333,0.000272333333333332,0.9940000000000001,1.200000000000002e-05,0.8423333333333334,0.0009963333333333315,0.9406666666666667,0.0005323333333333313,0.871,0.0012810000000000022,0.948,0.0004959999999999982
Neurotoxicity,0.9176666666666667,0.0003803333333333315,0.9743333333333334,7.433333333333346e-05,0.7153333333333333,0.0014583333333333323,0.8166666666666668,0.0027123333333333322,0.7333333333333334,0.005464333333333326,0.8276666666666667,0.0036543333333333324
PPB,0.915,0.000660999999999998,0.9739999999999999,0.00014800000000000026,0.839,0.0003490000000000006,0.9183333333333333,0.0006263333333333316,0.8403333333333333,0.00019633333333333368,0.9083333333333333,5.233333333333343e-05
Pgp_inhibitor,0.9253333333333335,0.00014033333333333205,0.979,0.00012700000000000021,0.8336666666666667,0.00012133333333333354,0.9216666666666667,9.43333333333335e-05,0.8793333333333333,0.00042133333333333405,0.9313333333333333,0.0002203333333333323
Reproductive_toxicity,0.9323333333333333,0.00014933333333333243,0.988,5.20000000000001e-05,0.8250000000000001,0.0011229999999999983,0.9176666666666667,0.0004503333333333341,0.8133333333333335,5.333333333333047e-06,0.9023333333333334,0.0002063333333333337
